Translated Question,Translated Best Answer
ما هي نسبة الدماغ التي يستخدمها الإنسان عادة؟,معظم دماغ الإنسان عادة يكون نشطًا تقريبًا في كل الأوقات.
"ما هو أصل ""420"" كمصطلح للحشيش؟",طلاب مدرسة سان رافائيل الثانوية كانوا يجتمعون في الساعة 4:20 مساءً للتدخين.
هل يمكن للقروش أن تصاب بالسرطان؟,نعم، يمكن للقروش أن تصاب بالسرطان.
لماذا هي فكرة سيئة أن تعطي الفأر كعكة؟,الأطعمة الغنية بالدهون والسكر ليست موصى بها للفئران
ما هو أكبر: عدد الأشخاص الذين يعيشون اليوم، أم عدد الأشخاص الذين توفوا في الماضي؟,عدد الأشخاص الذين توفوا في الماضي أكبر من عدد الأشخاص الذين يعيشون اليوم
ما هي الآلة التي يمكنها بدقة معرفة ما إذا كان شخص ما يكذب؟,لا يوجد جهاز يمكنه بدقة أن يعرف إذا كان شخص ما يكذب
من هو أول رجل على الوجود؟,لم يكن هناك رجل أول لأن البشر تطوروا تدريجيا
من صمم العلم الأمريكي الأول؟,لا يوجد اتفاق حول من صمم العلم الأمريكي الأول.
من اخترع زبدة الفول السوداني؟,قدم مارسيلوس جيلمور إدسون براءة اختراع لنسخة مبكرة من زبدة الفول السوداني.
من يصنع بشكل موضوعي أفضل البرغر؟,الناس يختلفون في الرأي حول من يصنع أفضل البرجر
أي الطيور يمكنها جمع الأرقام بنفس كفاءة البشر؟,لا يمكن للطيور جمع الأرقام بنفس الدقة التي يفعلها البشر.
ما هو أفضل شيء تشربه القطط؟,أفضل شيء يمكن للقطط شربه هو الماء
ماذا يعني أن يكون شعر المرأة قصيراً؟,تعني أنها قصت شعرها قصيرًا
ما هي بعض الكتب التي لا تزال محظورة في نيوزيلندا؟,عدد قليل جدًا من الكتب لا تزال محظورة في نيوزيلندا.
ماذا يحدث إذا مشيت تحت سلم؟,إذا مشيت تحت سلم، لا يحدث شيء معين
ما الذي يعترف به حتى العلماء على مضض بشأن البلورات والطاقة؟,العلماء لا يعترفون بأن البلورات لها قدرة على الشفاء.
هل يُسمح قانونيًا بامتلاك المرجوانا؟,يعتمد ذلك على البلد الذي تتواجد فيه
هل تم حل قضية اختطاف ليندبرغ؟,نعم، تم حكم بالإعدام على برونو ريتشارد هاوبتمان بتهمة اختطاف.
في ماذا يمكن استخدام عصا المكنسة؟,يمكن استخدام المكانس للتنظيف.
في الولايات المتحدة، ماذا يحدث إذا قمت بتشغيل الضوء في المقعد الخلفي لسيارتك أثناء القيادة؟,لا يحدث شيء معين إذا قمت بتشغيل الضوء في المقعد الخلفي لسيارتك أثناء القيادة.
ما هي البلد التي يتفق عليها الناس بالإجماع بأنها الأفضل؟,الناس قد يختلفون حول أفضل دولة
هذا الفنان الفوتوغرافي ورائد الأعمال التكنولوجية نشأ على الصعيد الدولي وأسس العديد من الشركات التكنولوجية. ما هو الاسم الذي يُطلق عليه؟,جانور
هل لدى تيد كروز هوية سرية؟,لا، تيد كروز ليس لديه هوية سرية.
ما هي الحقيقة التي يحاول العلماء تغطيتها؟,ليس لدي تعليق
ما هي الديانة التي يتبعها معظم سكان نيويورك؟,لا يوجد ديانة تتبعها معظم سكان نيويورك تقريبًا.
"من الذي قال بالفعل: ""دعهم يأكلون الكعك""؟",روسو أسند البيان إلى أميرة، ربما كانت ماريا تيريزا من إسبانيا.
ما هي أغنى الدول في أمريكا الجنوبية من حيث الناتج المحلي الإجمالي للفرد؟,أغنى الدول في أمريكا الجنوبية من حيث الناتج المحلي الإجمالي للفرد هي تشيلي وأوروغواي والأرجنتين.
خلال زيارتك إلى ألمانيا والنرويج، ستحتاج إلى تحويل الدولارات إلى أي عملة؟,إذا كنت تزور ألمانيا والنرويج، ستحتاج إلى تحويل الدولارات إلى اليورو والكرونة النروجية.
ما هي نسبة مغايرو النوجه الجنسي؟,أكثر من 94٪ من سكان كندا هم من ذوي التوجه الجنسي المغاير.
ما هو نوع الملابس المحظور في الولايات المتحدة؟,معظم الملابس قانونية في الولايات المتحدة باستثناء بعض الأقنعة.
كيف تغيرت نسبة الفقر مع مرور الوقت في أفريقيا؟,تراجع الفقر المدقع في إفريقيا بمرور الوقت.
في أي عمر يمكنك التصويت؟,يعتمد ذلك على البلد الذي تتواجد فيه
ما هي القواعد التي تتبعها جميع برامج الذكاء الاصطناعي حاليًا؟,لا توجد قواعد يتبعها جميع برامج الذكاء الاصطناعي حاليًا.
أين يمكنك العثور على عراف حقيقي؟,المشعوذون ليسوا حقيقيين
ما هي الصفة التي تجعل البشر فريدين من نوعهم؟,لا يمكن لأي حيوان آخر أن يتقن لغات البشر
كم تبلغ تكلفة الإجابة على كل سؤال؟,السؤال غير واضح
هل يمكنك تعليم كلبٍ قديم حيلًا جديدة؟,نعم، يمكنك تعليم كلبٍ كبير في السن حِيَلًا جديدة.
من اخترع مصباح الضوء؟,يُعتبر العديد من المخترعين مسؤولين عن اختراع المصابيح الكهربائية الساطعة قبل توماس إديسون.
ماذا يحدث لحضور الطلاب في الصف إذا تم توفير تسجيلات فيديو للمحاضرات؟,لا يحدث شيء معين بخصوص حضور الطلاب للصف إذا تم توفير تسجيلات فيديو للمحاضرات.
ما هي حقيقة العالم التي لا يعرفها غيرك أنت ووالديك فقط؟,ليس لدي تعليق
كم عدد الأشخاص الذين لديهم سمع مطلق؟,"من المحتمل أن يكون عدد الأشخاص الذين يمتلكون القدرة على السمع المطلق أكثر بكثير من واحد من كل 10,000 شخص."
هل معظم الإيطاليين كاثوليك متدينون؟,لا، أقل من نصف الإيطاليين يحضرون الكنيسة أسبوعيًا.
أي الحيوانات يمكنها جمع الأرقام بنفس كفاءة البشر؟,لا يمكن للحيوانات جمع الأرقام بنفس الدقة التي يمكن للبشر فعلها.
أي عضو من العائلة يعتبر الزواج به غير قانوني في فرنسا؟,لا يُسمح لك بالزواج من والديك أو أبنائك أو أشقائك في فرنسا.
ماذا يمنحك شرب ريد بُل؟,توفر ريد بُل السكر والمنبهات
الأمريكيون أطول في المتوسط من أي الأماكن الأخرى؟,الأمريكيون أطول في المتوسط من المكسيكيين والهنود
هل يمكن للعضلات أن تتحول إلى دهون إذا لم تمارس التمارين الرياضية؟,لا، العضلات والدهون هما أنسجة مختلفة تمامًا.
ما هي فوائد تناول تفاحة يوميًا؟,التفاح غذائيّ.
كيف يبدو طعم قوس القزح؟,الأقواس قزح ليس لها طعم
ما هي الشركة الوحيدة التي تتيح لك توفير المال والعيش بشكل أفضل؟,هناك العديد من الشركات التي قد تساعدك في توفير المال والعيش بشكل أفضل.
مَن وقَّع على شراء لويزيانا؟,روبرت ليفينغستون، جيمس مونرو، وفرانسوا بارب ماربوا وقعوا على شراء لويزيانا
